,anz,chn,jpn,kor,mng,idn,mys,phl,tha,vnm,xse,bgd,ind,npl,pak,xsa,can,usa,mex,arg,bra,chl,col,per,cri,hnd,xsmc,eur,gbr,nor,xef,xer,xca,rus,xws,tur,mena,nga,cod,xwcf,gab,eth,ken,tza,uga,bwa,nam,zaf,xesf,xtw
pdr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wht,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v_f,-9.854204081,-9.854204081,-9.854204081,-9.854204081,-9.854204081,-9.854204081,-9.854204081,-9.854204081,-9.854204081,-9.854204081,-9.854204081,-9.854204081,-9.854204081,-9.854204081,-9.854204081,-9.854204081,-9.854204081,-9.854204081,-9.854204081,-9.854204081,-9.854204081,-9.854204081,-9.854204081,-9.854204081,-9.854204081,-9.854204081,-9.854204081,-9.854204081,-9.854204081,-9.854204081,-9.854204081,-9.854204081,-9.854204081,-9.854204081,-9.854204081,-9.854204081,-9.854204081,-9.854204081,-9.854204081,-9.854204081,-9.854204081,-9.854204081,-9.854204081,-9.854204081,-9.854204081,-9.854204081,-9.854204081,-9.854204081,-9.854204081,-9.854204081
osd,-5.177632653,-5.177632653,-5.177632653,-5.177632653,-5.177632653,-5.177632653,-5.177632653,-5.177632653,-5.177632653,-5.177632653,-5.177632653,-5.177632653,-5.177632653,-5.177632653,-5.177632653,-5.177632653,-5.177632653,-5.177632653,-5.177632653,-5.177632653,-5.177632653,-5.177632653,-5.177632653,-5.177632653,-5.177632653,-5.177632653,-5.177632653,-5.177632653,-5.177632653,-5.177632653,-5.177632653,-5.177632653,-5.177632653,-5.177632653,-5.177632653,-5.177632653,-5.177632653,-5.177632653,-5.177632653,-5.177632653,-5.177632653,-5.177632653,-5.177632653,-5.177632653,-5.177632653,-5.177632653,-5.177632653,-5.177632653,-5.177632653,-5.177632653
c_b,-0.835102041,-0.835102041,-0.835102041,-0.835102041,-0.835102041,-0.835102041,-0.835102041,-0.835102041,-0.835102041,-0.835102041,-0.835102041,-0.835102041,-0.835102041,-0.835102041,-0.835102041,-0.835102041,-0.835102041,-0.835102041,-0.835102041,-0.835102041,-0.835102041,-0.835102041,-0.835102041,-0.835102041,-0.835102041,-0.835102041,-0.835102041,-0.835102041,-0.835102041,-0.835102041,-0.835102041,-0.835102041,-0.835102041,-0.835102041,-0.835102041,-0.835102041,-0.835102041,-0.835102041,-0.835102041,-0.835102041,-0.835102041,-0.835102041,-0.835102041,-0.835102041,-0.835102041,-0.835102041,-0.835102041,-0.835102041,-0.835102041,-0.835102041
pfb,-2.672326531,-2.672326531,-2.672326531,-2.672326531,-2.672326531,-2.672326531,-2.672326531,-2.672326531,-2.672326531,-2.672326531,-2.672326531,-2.672326531,-2.672326531,-2.672326531,-2.672326531,-2.672326531,-2.672326531,-2.672326531,-2.672326531,-2.672326531,-2.672326531,-2.672326531,-2.672326531,-2.672326531,-2.672326531,-2.672326531,-2.672326531,-2.672326531,-2.672326531,-2.672326531,-2.672326531,-2.672326531,-2.672326531,-2.672326531,-2.672326531,-2.672326531,-2.672326531,-2.672326531,-2.672326531,-2.672326531,-2.672326531,-2.672326531,-2.672326531,-2.672326531,-2.672326531,-2.672326531,-2.672326531,-2.672326531,-2.672326531,-2.672326531
ocr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ctl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
